編號,寺廟名稱,主祀神佛像,場所區域,場所地址,組織型態,聯絡電話,負責人,宗教別,建別,"新登記證字號
正式登記","新登記證字號
補辦登記"
1,左營仙樹三山宮,仙樹爺公、三山國王,左營區,左營下路240號,管理委員會制,5831044,楊順良,道,募,左025,
2,千佛山般若寺,釋迦牟尼佛,左營區,文府路532號,管理人(住持)制,3461908,黃麗姿(釋若惟),佛,募,左004,
3,元慶寺,釋迦牟尼佛,左營區,左營大路587號,執事會制,5832598,陳志彗(釋傳嚴),佛,募,左009,
4,天府宮,中壇元帥,左營區,蓮潭路158號,管理委員會制,5834883,李坤禮,道,募,左016,
5,太陽宮,太陽星君,左營區,新庄仔路546巷38號,管理委員會制,5562327,林劍雄,道,募,左027,
6,左營元帝廟,北極玄天上帝,左營區,左營下路87號,管理委員會制,5832468,黃慶國,道,募,左013,
7,左營慈母慈惠堂,瑤池金母,左營區,菜公路102巷29之51號,管理人(住持)制,5880624,陳正一,道,募,,左補003
8,左營慶隆宮,溫府千歲,左營區,左營大路301巷16號,管理人(住持)制,5851370,謝寶霖,道,募,,左補002
9,左營豐穀宮,神農大帝、天上聖母,左營區,左營大路495號,管理委員會制,5825207,黃慶國,道,募,左012,
10,佛光山南屏別院,釋迦牟尼佛,左營區,忠言路28號,執事會制,5568016,趙秀娟,佛,募,左002,
11,法隆寺,釋迦牟尼佛,左營區,埤子頭街36號,管理人(住持)制,5832868,洪素華,佛,募,左005,
12,青雲宮,保生大帝,左營區,新中街130號,管理委員會制,5562996,李明德,道,募,左011,
13,保善宮,觀世音佛祖,左營區,左營大路401巷31號,管理委員會制,5820369,蔡萬傳,佛,募,左007,
14,星顯宮,太陽星君、芋葉祖師、五顯大帝,左營區,新庄仔路280、282號,管理委員會制,3411515,王衍賓,道,募,左028,
15,財團法人高雄市廍後北極殿,北極玄天上帝,左營區,海平路2號,財團法人制,5827102,薛清正,道,募,左001,
16,高雄新莊天后宮,天上聖母,左營區,重清路278巷51號,管理委員會制,3410080,洪春基,道,募,左019,
17,埤子頭鎮福廟,福德正神,左營區,左營大路6巷81號3樓,管理委員會制,5825439,謝加富,道,募,左015,
18,啟明堂,孔夫子、文衡聖帝,左營區,蓮潭路36號,管理人(住持)制,5816216,陳雲龍,儒,募,左022,
19,清水宮,清水祖師,左營區,尾北里9鄰環潭路220號,管理委員會制,5835031,李武可,道,募,左008,
20,菜公豐谷宮,神農大帝,左營區,菜公一路91號,管理委員會制,3455059,彭及道,道,募,左003,
21,順天宮,池府千歲,左營區,蓮潭路97巷16號,管理人(住持)制,5877439,蔣國仙,道,募,左023,
22,慈德宮,天上聖母、南天福德正神,左營區,店仔頂街9號,管理委員會制,5819045,黃世樟,道,募,左017,
23,慈濟宮,保生大帝,左營區,蓮潭路9號,管理委員會制,5819286,陳聖仁,道,募,左018,
24,新吉莊北極殿,北極玄天上帝,左營區,新上街86號,管理委員會制,5563148,王信雄,道,募,左014,
25,新庄仔天公廟,玉皇上帝,左營區,新下街115號,管理人(住持)制,5592092,蔡淑芬,道,募,左021,
